Year,Index
1984-08-13,1
1984-10-22,10
1985-02-07,28
1985-03-07,30
1985-04-21,37
1985-04-23,39
1985-05-01,40
1985-05-02,41
1985-07-04,56
1985-07-12,58
1985-08-15,60
1985-11-12,74
1986-01-08,89
1986-02-03,92
1986-04-01,110
1986-04-17,114
1986-04-20,115
1986-06-30,122
1986-09-07,137
1986-09-17,140
1986-10-03,145
1986-10-05,147
1986-10-06,148
1986-10-11,149
1986-10-14,151
1986-10-26,152
1986-11-24,159
1986-12-02,161
1987-02-01,171
1987-03-03,177
1987-05-12,184
1987-08-02,198
1987-08-04,199
1987-10-11,205
1987-10-13,207
1988-01-31,222
1988-01-31,223
1988-02-10,228
1988-03-04,234
1988-03-06,235
1988-05-07,241
1988-05-15,244
1988-05-24,246
1988-06-24,248
1988-09-22,270
1988-10-02,272
1988-10-19,274
1988-11-07,279
1988-11-09,280
1988-11-09,281
1989-03-06,299
1989-05-07,309
1989-09-22,321
1989-11-20,327
1989-12-24,330
1989-12-24,331
1990-01-21,335
1990-01-28,336
1990-02-03,337
1990-02-25,340
1990-03-27,345
1990-03-31,346
1990-04-01,347
1990-06-17,356
1990-06-26,358
1990-07-09,362
1990-08-07,368
1990-10-07,372
1990-12-02,376
1990-12-09,378
1991-01-20,383
1991-03-19,395
1991-03-21,396
1991-06-02,402
1991-07-20,407
1991-11-03,417
1992-04-06,433
1992-04-12,434
1992-07-20,449
1993-01-17,457
1993-07-28,468
1993-09-22,472
1993-10-07,475
1994-02-21,481
1994-04-18,485
1994-05-13,487
1994-09-05,490
1995-02-26,493
1995-05-21,495
1995-07-28,498
1996-01-29,504
1996-05-06,510
1996-07-25,517
1996-08-12,519
1996-09-01,520
1997-02-18,532
1997-12-01,558
1997-12-01,559
1998-03-26,569
1998-03-26,570
1998-03-26,571
1998-05-19,579
1998-12-01,595
1998-12-06,596
1999-04-23,615
1999-05-06,617
1999-07-18,621
1999-07-25,622
1999-07-28,624
1999-07-30,625
2000-02-17,654
2000-03-26,660
2000-05-29,664
2000-07-13,672
2000-07-29,674
2000-08-10,677
2000-09-03,681
2000-12-14,688
2000-12-26,690
2001-01-18,698
2001-07-19,728
2001-08-05,737
2001-08-19,742
2001-12-30,753
2002-01-08,754
2002-02-08,757
2002-02-11,759
2002-04-11,768
2002-04-16,771
2002-06-20,782
2002-07-04,784
2002-07-14,788
2002-07-14,789
2002-07-21,792
2002-11-21,806
2002-12-07,807
2002-12-21,810
2003-03-02,821
2003-04-14,829
2003-06-25,840
2003-07-31,849
2003-11-01,855
2004-02-08,865
2004-05-27,887
2004-07-16,893
2004-08-01,897
2004-08-29,901
