Year,Index
1984-08-13,0
1984-08-19,2
1984-09-11,3
1984-09-11,4
1984-09-11,5
1984-09-25,6
1984-10-07,8
1984-10-11,9
1984-10-23,11
1984-10-23,12
1984-11-06,13
1984-11-12,14
1984-12-02,16
1984-12-09,17
1984-12-24,18
1985-01-13,19
1985-01-14,20
1985-01-20,21
1985-01-21,22
1985-01-24,23
1985-01-24,24
1985-01-27,25
1985-02-06,26
1985-02-07,27
1985-02-22,29
1985-03-21,31
1985-03-24,32
1985-04-04,33
1985-04-14,34
1985-04-19,35
1985-04-21,38
1985-05-06,42
1985-05-06,43
1985-05-07,44
1985-05-12,45
1985-05-14,46
1985-05-19,47
1985-05-27,49
1985-06-06,50
1985-06-09,51
1985-06-09,52
1985-06-23,53
1985-06-27,54
1985-06-30,55
1985-07-09,57
1985-07-29,59
1985-08-22,61
1985-09-10,62
1985-09-10,63
1985-09-17,64
1985-09-23,65
1985-09-23,66
1985-09-28,67
1985-10-12,68
1985-10-13,69
1985-10-15,70
1985-10-25,71
1985-10-25,72
1985-11-05,73
1985-11-17,75
1985-11-19,76
1985-11-21,77
1985-11-24,78
1985-11-25,79
1985-11-26,80
1985-12-05,81
1985-12-08,82
1985-12-15,83
1985-12-18,84
1985-12-29,86
1985-12-31,87
1986-01-05,88
1986-01-12,90
1986-01-31,91
1986-02-09,93
1986-02-16,94
1986-03-02,95
1986-03-04,96
1986-03-04,97
1986-03-04,98
1986-03-09,99
1986-03-11,100
1986-03-12,101
1986-03-18,102
1986-03-18,103
1986-03-20,104
1986-03-23,105
1986-03-24,106
1986-03-29,107
1986-03-30,108
1986-03-30,109
1986-04-01,111
1986-04-09,112
1986-04-09,113
1986-04-21,116
1986-05-01,117
1986-05-30,119
1986-06-03,120
1986-06-22,121
1986-07-11,123
1986-07-13,124
1986-07-17,125
1986-07-22,126
1986-07-29,127
1986-08-10,128
1986-08-12,129
1986-08-14,130
1986-08-14,131
1986-08-14,132
1986-08-21,133
1986-08-26,134
1986-09-01,135
1986-09-05,136
1986-09-10,138
1986-09-10,139
1986-09-19,141
1986-09-28,142
1986-10-02,143
1986-10-02,144
1986-10-05,146
1986-10-14,150
1986-10-30,153
1986-11-02,154
1986-11-03,155
1986-11-04,156
1986-11-16,157
1986-11-19,158
1986-11-28,160
1986-12-07,162
1986-12-07,163
1986-12-07,164
1986-12-14,165
1986-12-24,166
1986-12-30,167
1987-01-06,168
1987-01-06,169
1987-01-08,170
1987-02-06,172
1987-02-15,173
1987-02-16,174
1987-02-22,175
1987-03-03,176
1987-03-11,178
1987-03-15,179
1987-03-24,180
1987-03-24,181
1987-04-19,182
1987-05-08,183
1987-05-13,185
1987-05-13,186
1987-05-17,187
1987-06-14,188
1987-06-21,189
1987-06-24,190
1987-06-24,191
1987-07-01,192
1987-07-12,193
1987-07-14,194
1987-07-14,195
1987-07-22,196
1987-08-02,197
1987-09-15,200
1987-09-22,201
1987-09-27,202
1987-09-29,203
1987-10-06,204
1987-10-11,206
1987-10-18,208
1987-10-18,209
1987-10-22,210
1987-11-03,211
1987-11-04,212
1987-11-08,213
1987-11-10,214
1987-11-15,215
1987-11-25,216
1987-11-29,217
1987-12-08,218
1987-12-27,219
1988-01-03,220
1988-01-25,221
1988-02-04,224
1988-02-05,225
1988-02-07,226
1988-02-07,227
1988-02-16,229
1988-02-18,230
1988-02-23,231
1988-02-28,232
1988-03-02,233
1988-04-01,236
1988-04-10,237
1988-04-20,238
1988-04-21,239
1988-05-04,240
1988-05-08,242
1988-05-15,243
1988-05-15,245
1988-06-01,247
1988-06-27,249
1988-07-05,250
1988-07-06,251
1988-07-10,252
1988-07-24,253
1988-07-24,254
1988-07-27,255
1988-07-31,256
1988-08-03,257
1988-08-07,258
1988-08-10,259
1988-08-16,260
1988-08-17,261
1988-08-18,262
1988-08-24,263
1988-08-30,264
1988-08-31,265
1988-09-04,266
1988-09-04,267
1988-09-07,268
1988-09-11,269
1988-09-25,271
1988-10-13,273
1988-10-23,275
1988-10-23,276
1988-10-30,277
1988-10-30,278
1988-11-13,282
1988-11-23,283
1988-12-04,284
1988-12-11,285
1988-12-11,286
1988-12-18,287
1988-12-21,288
1989-01-01,289
1989-01-03,290
1989-01-11,291
1989-01-15,292
1989-01-29,293
1989-02-01,294
1989-02-25,295
1989-02-26,296
1989-03-01,297
1989-03-05,298
1989-03-06,300
1989-03-07,301
1989-03-08,302
1989-03-28,303
1989-04-02,304
1989-04-09,305
1989-04-23,306
1989-04-30,307
1989-05-07,308
1989-05-09,310
1989-05-09,311
1989-05-13,312
1989-05-14,313
1989-05-30,314
1989-06-04,315
1989-06-18,316
1989-07-06,317
1989-07-09,318
1989-08-09,319
1989-10-10,322
1989-10-22,323
1989-11-15,324
1989-11-19,325
1989-11-19,326
1989-12-03,328
1989-12-24,329
1989-12-26,332
1990-01-07,333
1990-01-07,334
1990-02-04,338
1990-02-18,339
1990-02-28,341
1990-03-01,342
1990-03-07,343
1990-03-07,344
1990-04-10,348
1990-04-11,349
1990-04-18,350
1990-04-21,351
1990-05-06,352
1990-05-20,353
1990-05-23,354
1990-05-29,355
1990-06-19,357
1990-06-30,359
1990-07-01,360
1990-07-04,361
1990-07-14,363
1990-07-15,364
1990-07-17,365
1990-07-24,366
1990-07-29,367
1990-08-09,369
1990-09-09,370
1990-10-05,371
1990-11-25,373
1990-11-27,374
1990-12-02,375
1990-12-05,377
1990-12-16,379
1991-01-06,380
1991-01-11,381
1991-01-13,382
1991-01-20,384
1991-02-03,385
1991-02-08,386
1991-02-10,387
1991-02-21,388
1991-03-03,389
1991-03-05,390
1991-03-10,391
1991-03-10,392
1991-03-15,393
1991-03-17,394
1991-03-24,397
1991-03-26,398
1991-04-07,399
1991-04-21,400
1991-05-21,401
1991-06-09,403
1991-06-23,404
1991-07-07,405
1991-07-08,406
1991-07-28,408
1991-08-11,409
1991-08-14,410
1991-09-05,411
1991-10-07,412
1991-10-16,413
1991-10-20,414
1991-10-22,415
1991-10-27,416
1991-11-05,418
1991-11-09,419
1991-11-10,420
1991-11-16,421
1991-12-01,422
1991-12-02,423
1991-12-15,424
1991-12-19,425
1991-12-29,426
1992-01-12,427
1992-01-12,428
1992-02-26,429
1992-03-15,430
1992-03-15,431
1992-03-31,432
1992-04-12,435
1992-04-26,436
1992-04-28,437
1992-04-29,438
1992-05-05,439
1992-05-27,441
1992-05-31,442
1992-06-05,443
1992-06-16,444
1992-07-07,445
1992-07-12,446
1992-07-12,447
1992-07-18,448
1992-10-04,450
1992-10-11,451
1992-10-13,452
1992-10-18,453
1992-11-25,454
1992-12-22,455
1992-12-30,456
1993-02-13,458
1993-04-25,459
1993-05-23,460
1993-06-13,461
1993-07-02,463
1993-07-04,464
1993-07-18,465
1993-07-18,466
1993-07-22,467
1993-08-04,469
1993-08-20,470
1993-09-13,471
1993-09-22,473
1993-10-03,474
1993-10-24,476
1993-12-07,477
1993-12-12,478
1994-01-02,479
1994-02-08,480
1994-03-13,482
1994-04-08,483
1994-04-13,484
1994-04-24,486
1994-07-10,489
1994-09-05,491
1995-01-08,492
1995-05-15,494
1995-06-27,496
1995-07-17,497
1995-07-31,499
1995-11-19,500
1995-11-19,501
1995-12-07,502
1996-01-07,503
1996-02-20,505
1996-03-10,506
1996-03-18,507
1996-04-30,508
1996-05-05,509
1996-05-26,511
1996-05-27,512
1996-06-02,513
1996-07-08,514
1996-07-16,515
1996-07-16,516
1996-07-29,518
1996-10-14,521
1996-11-17,522
1996-12-01,523
1996-12-08,524
1996-12-10,525
1996-12-16,526
1997-01-07,527
1997-01-13,528
1997-01-13,529
1997-02-10,530
1997-02-10,531
1997-03-09,533
1997-03-23,534
1997-04-01,535
1997-04-27,536
1997-05-04,537
1997-05-09,538
1997-05-10,539
1997-05-11,540
1997-05-13,541
1997-05-14,542
1997-05-18,543
1997-05-25,544
1997-07-25,545
1997-07-29,546
1997-07-31,547
1997-08-10,548
1997-08-12,549
1997-09-28,550
1997-09-30,551
1997-10-05,552
1997-10-28,553
1997-11-10,554
1997-11-10,555
1997-11-23,556
1997-11-30,557
1997-12-08,560
1997-12-22,561
1998-01-29,562
1998-02-01,563
1998-02-03,564
1998-02-08,565
1998-02-22,566
1998-02-26,567
1998-03-26,572
1998-03-27,573
1998-03-27,574
1998-03-29,575
1998-04-10,576
1998-04-16,577
1998-04-23,578
1998-06-14,580
1998-06-18,581
1998-06-20,582
1998-06-21,583
1998-06-30,584
1998-07-16,585
1998-07-19,586
1998-07-28,587
1998-07-30,588
1998-08-06,589
1998-08-27,590
1998-08-27,591
1998-09-03,592
1998-10-29,593
1998-11-15,594
1998-12-10,597
1998-12-17,598
1999-01-03,599
1999-01-03,600
1999-01-19,601
1999-01-27,602
1999-01-31,603
1999-02-08,604
1999-02-18,605
1999-02-25,606
1999-03-18,607
1999-03-18,608
1999-03-19,609
1999-04-01,611
1999-04-10,612
1999-04-17,613
1999-04-18,614
1999-05-02,616
1999-05-13,618
1999-05-16,619
1999-07-27,623
1999-08-01,626
1999-08-03,627
1999-08-05,628
1999-08-10,629
1999-08-16,630
1999-08-17,631
1999-09-11,632
1999-09-16,633
1999-09-21,634
1999-09-23,635
1999-11-04,638
1999-11-06,639
1999-11-21,640
1999-11-21,641
1999-11-28,642
1999-11-28,643
1999-11-29,644
2000-01-01,645
2000-01-27,646
2000-02-03,647
2000-02-03,648
2000-02-06,650
2000-02-07,651
2000-02-10,652
2000-02-13,653
2000-02-27,655
2000-03-02,656
2000-03-11,657
2000-03-19,658
2000-03-26,659
2000-05-11,661
2000-05-25,662
2000-05-26,663
2000-06-04,665
2000-06-18,666
2000-06-19,667
2000-06-22,668
2000-06-22,669
2000-06-26,670
2000-06-29,671
2000-07-17,673
2000-08-03,675
2000-08-03,676
2000-08-31,680
2000-09-10,682
2000-09-12,683
2000-09-12,684
2000-11-07,685
2000-11-16,686
2000-12-11,687
2000-12-16,689
2000-12-28,693
2001-01-04,694
2001-01-04,695
2001-01-06,696
2001-01-09,697
2001-01-25,699
2001-02-04,700
2001-02-10,701
2001-02-15,702
2001-02-22,703
2001-02-27,704
2001-03-08,705
2001-03-22,706
2001-04-22,707
2001-05-03,708
2001-05-10,709
2001-05-12,710
2001-05-13,711
2001-05-28,712
2001-05-30,713
2001-06-05,714
2001-06-10,715
2001-06-21,716
2001-06-24,717
2001-06-25,718
2001-06-30,721
2001-07-05,722
2001-07-05,723
2001-07-08,726
2001-07-12,727
2001-07-29,729
2001-07-29,730
2001-07-30,731
2001-07-30,732
2001-08-02,735
2001-08-02,736
2001-08-07,738
2001-08-10,739
2001-08-16,740
2001-08-19,741
2001-08-20,743
2001-08-30,744
2001-09-18,745
2001-09-27,746
2001-10-07,747
2001-10-15,748
2001-10-18,749
2001-11-04,750
2001-12-09,751
2001-12-27,752
2002-01-19,755
2002-02-02,756
2002-02-10,758
2002-02-11,760
2002-02-21,761
2002-02-28,762
2002-03-07,763
2002-03-08,764
2002-03-31,765
2002-04-01,766
2002-04-01,767
2002-04-14,769
2002-04-15,770
2002-04-21,772
2002-04-24,773
2002-05-05,774
2002-05-09,775
2002-05-14,776
2002-05-24,777
2002-06-02,778
2002-06-09,779
2002-06-13,780
2002-06-17,781
2002-06-30,783
2002-07-05,785
2002-07-07,786
2002-07-11,787
2002-07-16,790
2002-07-21,791
2002-07-22,793
2002-07-25,794
2002-07-25,795
2002-08-01,796
2002-08-01,797
2002-08-07,798
2002-08-08,799
2002-09-30,800
2002-10-06,801
2002-10-07,802
2002-10-21,803
2002-10-21,804
2002-12-10,808
2002-12-26,811
2002-12-26,812
2002-12-29,813
2003-01-09,814
2003-01-21,815
2003-01-25,816
2003-01-27,817
2003-01-28,818
2003-02-18,819
2003-02-23,820
2003-03-06,822
2003-03-06,823
2003-03-09,824
2003-03-12,825
2003-03-23,826
2003-03-27,827
2003-04-13,828
2003-05-01,830
2003-05-04,831
2003-05-18,832
2003-05-18,833
2003-05-18,834
2003-06-03,835
2003-06-05,836
2003-06-09,837
2003-06-10,838
2003-06-15,839
2003-06-25,841
2003-06-26,842
2003-06-30,843
2003-07-05,844
2003-07-10,845
2003-07-11,846
2003-07-25,848
2003-09-07,850
2003-09-28,851
2003-10-05,852
2003-10-10,853
2003-10-18,854
2003-11-09,856
2003-11-11,857
2003-11-16,858
2003-11-24,859
2003-11-24,860
2003-12-04,861
2003-12-14,862
2003-12-18,863
2004-02-19,866
2004-02-19,867
2004-02-20,868
2004-02-20,869
2004-02-24,870
2004-02-26,871
